competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Tomo Hashimoto,Japan,33,,33,11,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Nani Nieves,USA,37,,37,12,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Jennifer Greer,USA,38,,38,13,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Valerie Lusvardi,USA,42,,42,14,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Shawn Hektor Lewis,USA,46,,46,15,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Melanie Albinio,USA,47,,47,16,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Arisara Spain,USA,48,,48,16,women’s bikini – masters 40+,2024-12-07,"Union City,CAUnited States",https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,,2024-battle-of-the-bay
Nana Silva,Brazil,3,,3,1,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Jiajia Shi,China,6,,6,2,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Raquel Tofani,Brazil,9,,9,3,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Regina Garcia,Brazil,12,,12,4,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Ana Silva,Brazil,15,,15,5,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Karla Torres,Mexico,18,,18,6,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Annamarie Loots,South Africa,21,,21,7,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Marta Cordeiro,Brazil,24,,24,8,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Daniela Aparecida,Brazil,27,,27,9,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Carmen Tocheniuk,Canada,30,,30,10,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Ana Augusto,Brazil,33,,33,11,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Larissa Coelho,Brazil,36,,36,12,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Ale Santos Santos,Brazil,39,,39,13,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Lucimar Monarim,Brazil,42,,42,14,women’s physique – open,2024-11-30,"Juiz de Fora,Brazil",https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,,2024-luciano-cruz-juiz-de-fora-pro
Akim Williams,USA,3,3,6,1,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Marcello Horse,Brazil,6,6,12,2,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Emir Omeragic,Germany,9,9,18,3,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Marc Hector,UK,12,12,24,4,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Andrea Presti,Italy,15,15,30,5,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Lewis Breed,UK,18,18,36,6,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Krystian Wolski,Poland,21,21,42,7,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Matthias Hollweck,Germany,24,24,48,8,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Roberto Buonomo,Italy,27,27,54,9,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Jan Turek,Czech Republic,30,30,60,10,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Pablo Llopis,Spain,33,33,66,11,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Maik Ciesla,Germany,36,36,72,12,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Mark Joyce,UK,39,39,78,13,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Alexandru Vasile Uta,Romania,42,42,84,14,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Tian Kai,China,45,45,90,15,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Andrea Bolzoni,Italy,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Adolf Burghardt,Germany,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Yuxuan He,China,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Simon Lada,Poland,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Harry Lehner,Austria,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Emmanuel Longoria,Mexico,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Edu Rodriguez,Paraguay,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Edgar Valencia,Mexico,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Guo Sheng Yuan,China,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Chen Zhou,China,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Adolfo Pascual Castro Boronat,Spain,48,48,96,16,men’s bodybuilding – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Chantal Hill,Spain,3,,3,1,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Sara Punzetti,Italy,6,,6,2,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Jess Feeney,Ireland,9,,9,3,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Kateryna Spievakova,Ukraine,12,,12,4,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Regina Viktoria Noga,Hungary,15,,15,5,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Gisela Canelas,Portugal,18,,18,6,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Giuditta Taccani,Italy,21,,21,7,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Claudia Clemente,Portugal,24,,24,8,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Kamila Leonovic,Lithuania,27,,27,9,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Tindra Lindh,Sweden,30,,30,10,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Ines Neves,Portugal,33,,33,11,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Cassie Hunter,UK,36,,36,12,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Raquel Padial Sanchez,Spain,39,,39,13,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Babett Vongsanti,Hungary,42,,42,14,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Lubova Saponenko,Spain,45,,45,15,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Morillas Lopez Alejandra,Spain,48,,48,16,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Antonella Cozzolino,Italy,48,,48,16,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Gulsah Gorgulu,Turkey,48,,48,16,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Natalia Koursari,Greece,48,,48,16,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Mariska Pretorius,South Africa,48,,48,16,women’s bikini – open,2024-11-30,"Alicante,Spain",https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,,2024-bigman-weekend-spain-pro
Kerrith Bajjo,USA,3,,3,1,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Sung Yeop Jang,South Korea,6,,6,2,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Aphichai Wandee,Thailand,9,,9,3,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Sho Hirokawa,Japan,12,,12,4,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
David Henry,USA,15,,15,5,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
En Zhou,China,18,,18,6,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Kentaro Kuramochi,Japan,22,,22,7,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Hoyeon Jang,South Korea,23,,23,8,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Asmawi Zolkifli,Malaysia,27,,27,9,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Hongeun Kim,South Korea,30,,30,10,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Dorj Gansukh,Mongolia,33,,33,11,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Hiroshi Abe,Japan,36,,36,12,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Katsutoshi Matsusaka,Japan,40,,40,13,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Xi Qing Mao,China,41,,41,14,men’s 212 bodybuilding – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Corey Morris,USA,3,,3,1,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Joshua Eng,Malaysia,6,,6,2,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Gymray Yu,Taiwan,10,,10,3,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Kent Iwakami,Japan,11,,11,4,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Takumi Ishikawa,Japan,15,,15,5,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Ryohei Okada,Japan,18,,18,6,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Hong Son,Vietnam,21,,21,7,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Yiming Wei,China,24,,24,8,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Jackson Peos,Australia,27,,27,9,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Ash Abdollahi,Australia,30,,30,10,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Jimmy Chen,Taiwan,33,,33,11,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Rintaro Kiyokawa,Japan,37,,37,12,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Kazuma Oishi,Japan,38,,38,13,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Junxin Liu,China,43,,43,14,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Natsuki Takaramura,Japan,44,,44,15,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Penny Cheung,Hong Kong,48,,48,16,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Ilya Kvashnin,Russia,48,,48,16,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Chung Jen Liu,Taiwan,48,,48,16,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Suppachai Phonklad,Thailand,48,,48,16,men’s physique – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Uyanga Bataa,Mongolia,3,,3,1,women’s bikini – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Mengru Zhang,China,6,,6,2,women’s bikini – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Xinyi Chen,China,9,,9,3,women’s bikini – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Yurika Noda,USA,12,,12,4,women’s bikini – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
Ekaterina Opekunova,Russia,15,,15,5,women’s bikini – open,2024-11-24,"Tokyo,Japan",https://www.ifbbpro.com/competition/2024-japan-pro/,,2024-japan-pro
